"","name","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050"
"1","mean.pop.males",2129099.8189552,2191518.51313646,2254623.60078161,2319566.16901214,2386709.44637303,2455051.34124605,2524906.02385169,2596444.67007275,2670008.66475212,2747113.58955355,2825804.93163446,2904133.59637953,2983906.96476108,3065336.20066294,3151057.44471651,3242301.90147724,3328560.26034818,3415008.78247945,3507494.89189174,3608146.46890154,3717592.75732493,3833001.66238876,3956407.82415799,4087316.19212073,4228685.61755536,4377827.05659986,4528112.48965616,4687565.21446396,4856701.21582634,5031983.76274144,5217952.44111163,5405771.8573157,5599459.32124506,5800869.17666351,6011688.90040025,6230368.67199467,6434743.99353886,6639361.04617097,6851701.89362325,7073821.74820658,7305542.65783815,7521397.61102317,7737596.74561333,7963601.79264623,8198901.06787031,8445992.20025508,8688697.88331364,8934349.5129403,9190508.8448874,9455316.83863195,9728725.44453428,9996708.15269534,10268113.5053166,10547802.2359849,10833849.5387656,11131233.2587218,11418372.3540897,11705783.6497058,11998906.3439834,12297352.7508608,12605673.9016763
"2","mean.pop.females",2173299.97649138,2237875.69937307,2304524.7581605,2371922.18740787,2443222.06980512,2514990.01334446,2587833.00346385,2662309.75978627,2738563.65560476,2817371.80031289,2898960.65048771,2979639.55348016,3061305.37176086,3145383.46840813,3234091.54905574,3327031.91363173,3415342.5295371,3505187.46977191,3600021.55700722,3702574.88324062,3815737.5181958,3936666.30735804,4063304.44552789,4202595.11490332,4350902.04760846,4507676.17799601,4665378.20866787,4832285.40351946,5006716.20789452,5190760.28078475,5383644.44036254,5577578.3966898,5777676.5609824,5984806.70275981,6201282.11638418,6426847.64747868,6635962.36258771,6845488.39407301,7063024.33700532,7292806.30735597,7529766.85534277,7752458.48151452,7974872.89456345,8206610.78707429,8446789.11772622,8696518.79316871,8942379.21124841,9193670.0944201,9455978.93074914,9726431.77428936,10008328.4875376,10282769.4870563,10560227.8290693,10847150.5559895,11144713.1181629,11451393.0886669,11749396.5691042,12047637.6554413,12352758.0807498,12663055.4885243,12981703.2511363
"3","mean.pop.children",3729764.62040904,3819264.74311052,3908996.99407744,4004119.30029675,4103676.71387876,4214273.85433423,4323582.70171297,4435114.59089064,4555896.61049824,4681593.09613639,4813647.8749095,4941663.75651353,5079281.00603392,5224744.47537706,5376547.00457416,5537568.48298064,5711786.26386602,5894803.66981077,6084646.11853633,6283153.92813971,6484982.24961868,6645270.99541242,6802053.55331532,6960347.69152168,7129010.42002227,7301624.71116834,7442097.15274265,7570468.36291123,7700331.57627915,7833622.76492246,7968521.32147746,8089975.82246883,8211565.52678569,8339110.00115548,8466902.95751559,8598957.71070783,8746195.44886002,8900207.82003825,9058293.05371399,9213958.5374437,9374870.01426901,9546416.24853217,9721652.21729121,9892170.8386752,10059906.200244,10225675.4158433,10385310.4949453,10536220.7680675,10684003.4650146,10824733.9011503,10961337.0512081,11095983.5752333,11223991.1735946,11345858.8189684,11465781.5836683,11580057.1443119,11693969.437388,11803942.5897847,11914277.1147743,12024916.8745171,12131682.2059427
"4","mean.pop.overall",8032164.41585563,8248658.95562005,8468145.35301955,8695607.65671676,8933608.23005691,9184315.20892473,9436321.72902852,9693869.02074967,9964468.93085512,10246078.4860028,10538413.4570317,10825436.9063732,11124493.3425559,11435464.1444481,11761695.9983464,12106902.2980896,12455689.0537513,12814999.9220621,13192162.5674353,13593875.2802819,14018312.5251394,14414938.9651592,14821765.8230012,15250258.9985457,15708598.0851861,16187127.9457642,16635587.8510667,17090318.9808946,17563749,18056366.8084487,18570118.2029516,19073326.0764743,19588701.4090132,20124785.8805788,20679873.9743,21256174.0301812,21816901.8049866,22385057.2602822,22973019.2843426,23580586.5930063,24210179.5274499,24820272.3410699,25434121.857468,26062383.4183957,26705596.3858405,27368186.4092671,28016387.5895074,28664240.3754279,29330491.2406511,30006482.5140716,30698390.98328,31375461.2149849,32052332.5079804,32740811.6109428,33444344.2405968,34162683.4917006,34861738.3605819,35557363.8949318,36265941.5395074,36985325.1139023,37719059.3587553
"5","mean.plhiv.males",109642.013044491,127945.243933005,146545.001485559,164622.3791116,183889.520973776,202446.48641078,220398.55175061,236994.0821913,253071.296772465,265084.044526992,275465.631384101,284802.61909825,292888.788967555,300194.746038376,305856.083808109,311035.881096741,316089.308903361,319419.062042324,322318.154035597,323979.500938372,326399.02814106,328348.990445494,331047.299564714,334116.68450043,338962.749815742,345395.594579832,350617.245125512,355167.614072801,359854.770702984,364430.104606457,368894.580137622,373442.717307324,378127.687676271,382694.083304639,387369.939951996,392728.257803932,396801.852935094,400990.891222024,404792.576690762,408099.543815891,411357.689903858,414198.815190689,417135.693283506,419924.967415911,422542.978594174,424879.682925891,426538.103919627,428077.780865019,428503.80210556,428696.532687523,428635.076577524,428455.447749559,428529.44071846,427396.545801678,425442.785779154,423212.797869783,420936.632233928,417667.300739392,414696.416274511,410939.303090329,406732.195388661
"6","mean.plhiv.females",129660.356595644,152038.999793752,174903.368453836,197408.603168218,221268.513253973,243871.689871724,266341.224201358,286654.039486246,306338.439813477,322390.949941565,337419.374142213,351508.038758114,364021.901746114,375748.044654884,386071.39900531,395962.345303468,406502.095522506,415225.778424414,422817.956713269,430306.395505433,438464.527114336,446948.839799903,457805.622872427,470232.452197319,482491.932596681,496725.164345878,511283.457200993,523776.381290592,535640.813883162,547651.139209961,558354.491814489,569326.140663886,580531.059900205,590936.210441701,601637.617109218,612140.923633468,621471.974461268,630741.142471008,639547.960292727,647178.789858885,654510.878356877,660838.378896657,667631.661487037,673420.050895399,679281.325482939,685162.449239521,689878.839587867,694371.975285986,697626.890467249,700562.239352836,702940.372423966,705564.042576669,707053.283229987,708227.119959665,708160.637475291,707665.952841779,706527.883378111,705232.17140652,703140.968907442,699834.642195803,695784.038467937
"7","mean.plhiv.children",16386.9788200421,20170.2085699287,24343.7081760734,29093.7974874978,34562.3992886462,40375.2644970331,46040.0004202109,51515.43458589,57804.2512356992,64411.9130839841,70528.2347233718,76038.6399524161,74973.3823155357,73755.4302631989,73664.3398543712,73266.2193502224,72278.7307901645,70904.2722055024,70766.867276733,69713.5537662519,68628.5935184112,66285.6210681541,63279.0561203562,59106.9950172527,55033.8611639742,50172.9230452769,45167.3155071531,42613.0307027834,40509.0662019764,38035.0051622647,35792.1154294217,33270.5869286369,30663.5328183946,27633.4359442551,24533.0996123754,21512.826454265,19061.8070007656,16909.4230963837,15505.9499112043,14623.6983831,13952.6892146069,13308.5596008728,12748.3471008832,12257.3021132031,11825.931999413,11151.742781852,10479.2740503045,10024.6861619656,9560.82825463582,8985.42097111526,8454.83378860688,8015.48675558333,7534.63033641962,7148.24649964028,6697.38158276656,6382.63961006403,5978.11507926471,5598.03117122399,5195.74579470402,4880.84540310484,4594.28892236479
"8","mean.plhiv.overall",255689.348460177,300154.452296686,345792.078115469,391124.779767315,439720.433516395,486693.440779537,532779.776372179,575163.556263436,617213.987821641,651886.907552541,683413.240249685,712349.29780878,731884.073029205,749698.220956459,765591.822667791,780264.445750431,794870.135216031,805549.11267224,815902.978025599,823999.450210058,833492.148773808,841583.451313551,852131.978557498,863456.131715001,876488.543576397,892293.681970987,907068.017833658,921557.026066176,936004.650788122,950116.248978683,963041.187381533,976039.444899847,989322.28039487,1001263.72969059,1013540.65667359,1026382.00789166,1037335.63439713,1048641.45678942,1059846.48689469,1069902.03205788,1079821.25747534,1088345.75368822,1097515.70187143,1105602.32042451,1113650.23607653,1121193.87494726,1126896.2175578,1132474.44231297,1135691.52082744,1138244.19301147,1140030.2827901,1142034.97708181,1143117.35428487,1142771.91226098,1140300.80483721,1137261.39032163,1133442.6306913,1128497.50331714,1123033.13097666,1115654.79068924,1107110.52277896
"9","mean.new.infections.males",23789.0766215676,23492.9374611859,25278.5252587207,26662.0380223619,27632.1152650939,29048.3836607665,28975.1590547308,30271.2669894064,29033.2041044511,27578.348523129,27587.1913693242,27386.7728065896,27774.3738479353,27919.9393978256,27829.1600773426,27441.3720232565,28197.5227404977,26115.808307566,24829.6306337066,23035.4677195634,20134.394514277,18418.4718110532,16790.6968020651,15561.9761912028,14278.8486709517,13338.055609315,11925.2299667922,11594.6314284098,11179.6684957256,11106.5478167832,10031.8714157928,10206.6346622005,9804.28358822659,9164.15556468441,9704.67213185854,9508.80481411295,9446.47762498008,8854.03563371979,8940.31103743312,8713.11485499444,8251.46074162084,7930.94714514079,7918.71774170532,7877.64263351088,7729.42669460787,7203.41749900986,6739.05467754102,6506.26610651918,6074.59781832471,5911.00989307078,5859.22996094883,5750.55984472673,5756.25534118105,4912.07058874189,4860.02158038614,4844.73201448798,4446.76841044733,4319.16056985958,4418.37010050974,4038.03463462627,3677.88559184158
"10","mean.new.infections.females.younger",15072.5891156811,14670.189989178,15781.2749738792,16742.087094512,17236.0343473355,17904.2634228851,18541.8589874183,19105.0723964532,18050.3212543354,17323.4149777849,17350.1726022242,17020.9186419354,16867.9114514033,17107.128430631,17020.1384870214,17115.8740270517,17052.0174053217,15538.8875021584,15321.6112333888,13804.1049532932,12566.5169117968,11388.5797715392,10980.6305019647,9936.18614577224,8864.48253882737,8451.50109474942,7632.41734723993,7154.59376430325,6509.25966387462,5852.09489166378,5530.69757716485,5739.32647759644,5287.8541263219,4883.69698883378,4829.93585970231,4452.68924459437,4619.19809523041,4115.16890998861,4060.07896350312,3609.43166405332,3485.21218759746,3130.11314629921,3361.71946941539,3059.18336351723,3079.91575441366,2710.59298292661,2629.49002736133,2352.5364302875,2220.03400990743,2213.65506316869,2127.0406962967,2010.64292986363,1949.3007500688,1633.79407743555,1565.70622933293,1551.11738921157,1421.51959597929,1390.33191767628,1575.44184101393,1434.00691356317,1175.49207729754
