"Death_year","Age_bin","mean.plhiv.total","mean.plhiv.males","mean.plhiv.females","mean.hivdeaths.total","mean.hivdeaths.males","mean.hivdeaths.females","Undiagnosed.total","Undiagnosed.m","Undiagnosed.f","DiagnosedNoARTInit.total","DiagnosedNoARTInit.m","DiagnosedNoARTInit.f","OnART.Under6.firstinit.under200.total","OnART.Under6.firstinit.under200.m","OnART.Under6.firstinit.under200.f","OnART.Under6.firstinit.over200.total","OnART.Under6.firstinit.over200.m","OnART.Under6.firstinit.over200.f","OnART.reinit6mo.under200.total","OnART.reinit6mo.under200.m","OnART.reinit6mo.under200.f","OnART.reinit6mo.over200.total","OnART.reinit6mo.over200.m","OnART.reinit6mo.over200.f","OnART.VL.no.total","OnART.VL.no.m","OnART.VL.no.f","OnART.VL.supp.total","OnART.VL.supp.m","OnART.VL.supp.f","OnART.6mo.VL.no.total","OnART.6mo.VL.no.m","OnART.6mo.VL.no.f","OnART.6mo.VL.supp.total","OnART.6mo.VL.supp.m","OnART.6mo.VL.supp.f","OnART.over6mo.VL.no.total","OnART.over6mo.VL.no.m","OnART.over6mo.VL.no.f","OnART.over6mo.VL.supp.total","OnART.over6mo.VL.supp.m","OnART.over6mo.VL.supp.f","ART.interrupt.any.total","ART.interrupt.any.m","ART.interrupt.any.f","ART.interrupt.1st.total","ART.interrupt.1st.m","ART.interrupt.1st.f","ART.interrupt.second.under6mototal","ART.interrupt.second.under6mom","ART.interrupt.second.under6mof","ART.interrupt.second.over6mototal","ART.interrupt.second.over6mom","ART.interrupt.second.over6mof","OnART.all.under200total","OnART.all.under200m","OnART.all.under200f","OnART.all.over200total","OnART.all.over200m","OnART.all.over200f","OnART.under6mo.under200total","OnART.under6mo.under200m","OnART.under6mo.under200f","OnART.under6mo.over200total","OnART.under6mo.over200m","OnART.under6mo.over200f","OnART.over6mo.under200total","OnART.over6mo.under200m","OnART.over6mo.under200f","OnART.over6mo.over200total","OnART.over6mo.over200m","OnART.over6mo.over200f","psf","sim.id"
2000,15,25312.632364776266,5332.886939554414,19979.74542522185,484.11604774429907,90.14135602261997,393.9746917216791,417.14180607253286,74.67660090367085,342.465205168862,66.97424167176621,15.464755118949132,51.50948655281707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.75083197331611,13
2001,15,25271.540679599493,5571.068828402111,19700.47185119738,598.9809412286573,177.31180844831505,421.66913278034235,539.9075102405558,157.36648078792388,382.54102945263185,59.07343098810167,19.945327660391182,39.128103327710484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.75083197331611,13
2002,15,25139.339990081946,5630.585800294,19508.754189787946,555.7270544113138,129.75443025509628,425.97262415621753,469.5420450527574,114.27448373159004,355.26756132116736,86.18500935855641,15.479946523506232,70.70506283505019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.75083197331611,13
2003,15,24978.175146212634,5690.475966601821,19287.699179610812,618.716460335181,138.46890342835206,480.24755690682895,480.375128265585,118.52246470478093,361.85266356080405,138.341332069596,19.946438723571138,118.39489334602489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.75083197331611,13
2004,15,24975.50731967493,5827.315634462477,19148.191685212452,682.1576746269473,248.68183299388988,433.4758416330573,472.80679475196916,189.40652381311568,283.40027093885345,193.5677737002016,51.45577079448971,142.11200290571188,11.78794006729851,7.81953838628448,3.968401681014031,3.995166107477964,0,3.995166107477964,0,0,0,0,0,0,15.783106174776474,7.81953838628448,7.963567788491995,0,0,0,15.783106174776474,7.81953838628448,7.963567788491995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.78794006729851,7.81953838628448,3.968401681014031,11.78794006729851,7.81953838628448,3.968401681014031,11.78794006729851,7.81953838628448,3.968401681014031,3.995166107477964,0,3.995166107477964,0,0,0,0,0,0,97.75083197331611,13
2005,15,24717.679178495302,5767.814211384521,18949.86496711078,814.7457591177906,328.9509463723332,485.7948127454575,409.06393971923353,184.10288237323942,224.96105734599413,385.6985096375391,128.87994492463875,256.8185647129003,19.98330976101808,15.96811907445501,4.01519068656307,0,0,0,0,0,0,0,0,0,16.03375944367109,12.01856875710802,4.01519068656307,0,0,0,3.947930139249469,3.947930139249469,0,0,0,0,0,0,0,12.08582930442162,8.07063861785855,4.01519068656307,3.9495503173469904,3.9495503173469904,0,3.9495503173469904,3.9495503173469904,0,0,0,0,0,0,0,16.03375944367109,12.01856875710802,4.01519068656307,16.03375944367109,12.01856875710802,4.01519068656307,3.947930139249469,3.947930139249469,0,0,0,0,12.08582930442162,8.07063861785855,4.01519068656307,0,0,0,97.75083197331611,13
2006,15,25037.485903027897,5950.989655322326,19086.49624770557,911.8616209441042,367.5184955241689,544.3431254199352,328.1747537499575,166.0606495513372,162.1141041986203,567.9306546078354,201.4578459728317,366.47280863500373,15.756212586311173,0,15.756212586311173,0,0,0,0,0,0,0,0,0,15.756212586311173,0,15.756212586311173,0,0,0,11.657273508842358,0,11.657273508842358,0,0,0,0,0,0,4.098939077468816,0,4.098939077468816,0,0,0,0,0,0,0,0,0,0,0,0,15.756212586311173,0,15.756212586311173,15.756212586311173,0,15.756212586311173,11.657273508842358,0,11.657273508842358,0,0,0,4.098939077468816,0,4.098939077468816,0,0,0,97.75083197331611,13
2007,15,24955.779149800106,6089.772228296502,18866.006921503602,919.6680129779575,330.83553802344653,588.832474954511,149.5237427476099,78.70408100836244,70.81966173924745,730.7196431729407,244.37668777103045,486.3429554019102,39.42462705740696,7.754769244053666,31.66985781335329,0,0,0,0,0,0,0,0,0,35.61940813070028,7.754769244053666,27.864638886646617,0,0,0,35.61940813070028,7.754769244053666,27.864638886646617,0,0,0,0,0,0,0,0,0,3.805218926706675,0,3.805218926706675,3.805218926706675,0,3.805218926706675,0,0,0,0,0,0,35.61940813070028,7.754769244053666,27.864638886646617,35.61940813070028,7.754769244053666,27.864638886646617,35.61940813070028,7.754769244053666,27.864638886646617,0,0,0,0,0,0,0,0,0,97.75083197331611,13
2008,15,25391.37027078848,6706.400859562076,18684.969411226404,1052.210232183024,451.39219512028086,600.8180370627431,137.90973655208947,78.91708624769858,58.9926503043909,844.0701725532139,333.386777403322,510.68339514989185,58.51575093340587,31.134713281294875,27.38103765211099,3.76095395634927,0,3.76095395634927,7.953618187965416,7.953618187965416,0,0,0,0,66.28239293847109,35.140401330010825,31.141991608460263,0,0,0,43.02782273532884,19.56941314191284,23.458409593416004,0,0,0,0,0,0,23.25457020314224,15.570988188097981,7.683582015044259,3.947930139249469,3.947930139249469,0,3.947930139249469,3.947930139249469,0,0,0,0,0,0,0,62.521438982121815,35.140401330010825,27.38103765211099,62.521438982121815,35.140401330010825,27.38103765211099,31.313250591014157,11.615794953947425,19.69745563706673,3.76095395634927,0,3.76095395634927,31.208188391107658,23.5246063760634,7.683582015044259,0,0,0,97.75083197331611,13
2009,15,25343.238978054633,7037.474031329633,18305.764946725,1081.7533104685206,445.3910091939281,636.3623012745926,90.66967029415508,47.39704938999702,43.27262090415805,888.9900628706217,366.37053669124475,522.619526179377,82.2719943414968,27.736821061370186,54.53517328012661,12.056617822593381,0,12.056617822593381,3.8866020513160953,3.8866020513160953,0,3.8783630883375837,0,3.8783630883375837,94.38131126936489,31.623423112686282,62.757888156678604,0,0,0,66.89652134773198,23.701811020553592,43.194710327178385,0,0,0,0,0,0,27.484789921632913,7.92161209213269,19.563177829500223,7.712266034378971,0,7.712266034378971,7.712266034378971,0,7.712266034378971,0,0,0,0,0,0,82.53002093842207,31.623423112686282,50.90659782573578,82.53002093842207,31.623423112686282,50.90659782573578,55.04523101678915,23.701811020553592,31.343419996235557,7.972927242605239,0,7.972927242605239,27.484789921632913,7.92161209213269,19.563177829500223,3.8783630883375837,0,3.8783630883375837,97.75083197331611,13
