"Tr_year_binned","Age_bin","mean.plhiv.total","mean.plhiv.males","mean.plhiv.females","mean.hivdeaths.total","mean.hivdeaths.males","mean.hivdeaths.females","Undiagnosed.total","Undiagnosed.m","Undiagnosed.f","Diagnosed_noART.total","Diagnosed_noART.m","Diagnosed_noART.f","Onart.under6mo.firstinit.under200.total","Onart.under6mo.firstinit.under200.m","Onart.under6mo.firstinit.under200.f","Onart.under6mo.firstinit.over200.total","Onart.under6mo.firstinit.over200.m","Onart.under6mo.firstinit.over200.f","OnART.afterInterrupt.under6mo.under200.total","OnART.afterInterrupt.under6mo.under200.m","OnART.afterInterrupt.under6mo.under200.f","OnART.afterInterrupt.under6mo.over200.total","OnART.afterInterrupt.under6mo.over200.m","OnART.afterInterrupt.under6mo.over200.f","OnART.VL.Supp.total","OnART.VL.Supp.m","OnART.VL.Supp.f","OnART.VL.NoSupp.total","OnART.VL.NoSupp.m","OnART.VL.NoSupp.f","OnART.under6mo.VL.Supp.total","OnART.under6mo.VL.Supp.m","OnART.under6mo.VL.Supp.f","OnART.under6mo.VL.NoSupp.total","OnART.under6mo.VL.NoSupp.m","OnART.under6mo.VL.NoSupp.f","OnART.over6mo.VL.Supp.total","OnART.over6mo.VL.Supp.m","OnART.over6mo.VL.Supp.f","OnART.over6mo.VL.NoSupp.total","OnART.over6mo.VL.NoSupp.m","OnART.over6mo.VL.NoSupp.f","DropOut.total","DropOut.m","DropOut.f","DropOut.first.total","DropOut.first.m","DropOut.first.f","DropOut.subseq.under6mo.total","DropOut.subseq.under6mo.m","DropOut.subseq.under6mo.f","DropOut.subseq.over6mo.total","DropOut.subseq.over6mo.m","DropOut.subseq.over6mo.f"
2000,15,24881.599986070796,5359.065438454611,19522.534547616186,504.2230724323108,116.10176381999669,388.1213086123141,5545.636742137907,874.2331914756745,4671.403550662232,8.966130587227573,1.1585007006859556,7.807629886541617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,15,24551.333165986674,5506.519569721104,19044.81359626557,541.2025643850133,136.5681977730649,404.6343666119484,5123.30992671982,859.9824408302609,4263.327485889559,100.40355227247689,2.724066315353694,97.6794859571232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,15,24268.922561064013,5623.016552635468,18645.906008428545,612.58317124711,197.20158625029993,415.38158499681015,4665.960115930167,792.7538424879997,3873.206273442168,253.37220978305504,6.291395403942372,247.08081437911267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,15,24330.680467169906,5823.37686436244,18507.303602807468,672.3624219676312,215.9410253734409,456.42139659419036,4557.14419530826,786.622736703398,3770.5214586048623,317.58057519112776,4.682664926720776,312.89791026440696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,15,24292.409104501377,5899.108937904813,18393.300166596564,742.5282823904943,268.37314897784256,474.1551334126517,4427.396307082687,738.665291421729,3688.7310156609583,369.9841857579132,8.218925378351111,361.7652603795621,0.7957141722880935,0,0.7957141722880935,1.150153673104021,0,1.150153673104021,0,0,0,0,0,0,1.7901984177607453,0,1.7901984177607453,0.15566942763136918,0,0.15566942763136918,1.7901984177607453,0,1.7901984177607453,0.15566942763136918,0,0.15566942763136918,0,0,0,0,0,0,0.39120966233071985,0,0.39120966233071985,0.39120966233071985,0,0.39120966233071985,0,0,0,0,0,0
2005,15,24449.869075974857,6037.802302301638,18412.066773673218,805.1759718535692,315.1037912580266,490.07218059554253,4106.388577413909,684.1546918843766,3422.2338855295325,449.64587703041025,25.81255779990435,423.83331923050594,0.38799266594136067,0,0.38799266594136067,3.1476085222002843,0,3.1476085222002843,0,0,0,0,0,0,3.2527530930903135,0,3.2527530930903135,0.28284809505133157,0,0.28284809505133157,3.2527530930903135,0,3.2527530930903135,0.28284809505133157,0,0.28284809505133157,0,0,0,0,0,0,1.542875247352919,0,1.542875247352919,1.542875247352919,0,1.542875247352919,0,0,0,0,0,0
2006,15,24801.05978388751,6297.031640993549,18504.028142893963,924.5580292039975,354.62892925229426,569.9290999517033,4074.544916794894,678.3324527842601,3396.212464010634,505.21176926890666,33.56988134574191,471.64188792316475,7.399688295488806,5.4767324012226455,1.9229558942661604,5.418246423423029,0,5.418246423423029,0,0,0,0,0,0,13.962772512022458,6.125344318451125,7.837428193571333,1.2141541314802136,0.5326386363870543,0.6815154950931593,11.792499941398889,5.038593809124834,6.753906132274055,1.0254347775129469,0.43813859209781164,0.5872961854151352,2.1702725706235686,1.0867505093262908,1.083522061297278,0.18871935396726683,0.09450004428924266,0.09421930967802417,1.9695185439138057,0,1.9695185439138057,1.9695185439138057,0,1.9695185439138057,0,0,0,0,0,0
2007,15,25036.689884129002,6535.7435091606485,18500.946374968353,986.8854774309453,405.8388919981091,581.0465854328363,3723.985798030036,586.7739878280639,3137.211810201972,455.5743862662182,33.90096629152421,421.67341997469396,30.38571266168639,9.685771623926012,20.69994103776038,11.241366093154022,0.40229849857416083,10.839067594579863,0,0,0,0,0,0,44.764579676306816,12.157933556863773,32.60664611944304,3.89257214576581,1.057211613640328,2.835360532125482,38.29691245445318,9.28102451270016,29.01588794175302,3.330166300387233,0.8070456098000139,2.523120690587219,6.467667221853634,2.8769090441636123,3.590758177690021,0.5624058453785769,0.25016600384031407,0.31223984153826273,7.788838633356125,2.732945767617148,5.055892865738977,7.788838633356125,2.732945767617148,5.055892865738977,0,0,0,0,0,0
2008,15,24925.13804347407,6647.1081800754955,18278.029863398577,961.3698635590097,403.4795595864259,557.8903039725836,3497.1020280107728,535.1159065004184,2961.986121510354,393.6920912665645,43.52633795093132,350.16575331563314,37.36875091394352,8.174167964792645,29.194582949150874,10.116130379330842,0,10.116130379330842,0.39479301392494687,0,0.39479301392494687,0,0,0,55.1309394002293,10.012760707234055,45.11817869299525,4.793994730454722,0.8706748441073091,3.923319886347413,44.04930036262336,7.520234527609233,36.52906583501413,3.830373944575945,0.6539334371834116,3.1764405073925333,11.08163903760594,2.492526179624822,8.589112857981117,0.9636207858787773,0.21674140692389757,0.7468793789548798,25.696914829308856,5.084823906673497,20.612090922635357,25.312223650019924,4.700132727384564,20.612090922635357,0,0,0,0.3846911792889332,0.3846911792889332,0
2009,15,24782.90981101982,6836.859002713576,17946.050808306245,1027.2153088203384,455.62443648346635,571.590872336872,3188.058656080232,492.65125485218556,2695.407401228046,323.9619034409095,41.36364642962733,282.59825701128216,49.123444991195385,7.413717207906826,41.70972778328856,13.683513480374735,0,13.683513480374735,5.835057388603185,1.5575589398556278,4.277498448747557,2.6872654013141823,0,2.6872654013141823,79.88193728068414,10.7657159284338,69.11622135225035,6.946255415711664,0.9361492111681565,6.010106204543508,65.62293876056849,8.253574055941458,57.36936470462703,5.706342500918999,0.7177020918209963,4.988640409098003,14.258998520115654,2.512141872492342,11.746856647623312,1.2399129147926655,0.21844711934716018,1.0214657954455053,33.04185594766969,6.230800422289129,26.81105552538056,32.63775950058962,6.230800422289129,26.40695907830049,0.40409644708007153,0,0.40409644708007153,0,0,0
