Year,Province,Gender,AgeBin,NationalPrevalence,weight,effective_count,alpha,beta,lower,upper
2015.5,All,Male,[15:20),0.01,,1575.878906,15.74878906,1559.130117,0.00570105,0.015472415
2015.5,All,Male,[20:25),0.011,,707.0792458,7.766871704,698.3123741,0.004695608,0.019903764
2015.5,All,Male,[25:30),0.064,,470.3315735,30.0372207,439.2943528,0.043699019,0.087813994
2015.5,All,Male,[30:35),0.092,,454.4433594,41.71678906,411.7265703,0.06718227,0.120222712
2015.5,All,Male,[35:40),0.118,,380.2982654,44.75719532,334.5410701,0.087542239,0.152269813
2015.5,All,Male,[40:45),0.14,,285.3219169,39.80506837,244.5168485,0.102217463,0.182575191
2015.5,All,Male,[45:50),0.192,,204.6630859,39.10331249,164.5597734,0.14101396,0.248712045
2015.5,All,Male,[15:50),0.064,,2967.84668,189.8781875,2776.968492,0.055476702,0.073079902
2010,All,Male,[15:20),0.013,,652.0005446,8.46300708,642.5375375,0.005797528,0.023012681
2010,All,Male,[20:25),0.028,,540.7156808,15.11203906,524.6036417,0.015822488,0.043476272
2010,All,Male,[25:30),0.069,,457.6369134,31.50794702,425.1289664,0.047625416,0.093944316
2010,All,Male,[30:35),0.107,,392.8391501,41.92678906,349.912361,0.078390908,0.139404902
2010,All,Male,[35:40),0.182,,272.7317726,49.45518261,222.27659,0.138498925,0.229932448
2010,All,Male,[40:45),0.208,,189.455003,39.19864062,149.2563624,0.153259012,0.268608168
2010,All,Male,[45:50),0.15,,237.3331706,35.44997559,200.883195,0.107479551,0.198125846
2010,All,Male,[15:50),0.081,,2375.778537,192.3570615,2182.421476,0.070367951,0.092300328
2004,All,Male,[15:20),0.004,0.8,636.2159729,2.540863892,632.675109,0.000680478,0.010183137
2004,All,Male,[20:25),0.039,0.8,317.788618,12.3547561,304.4338619,0.020602576,0.062882267
2004,All,Male,[25:30),0.098,0.8,284.98722,27.83074756,256.1564724,0.066261282,0.135092622
2004,All,Male,[30:35),0.204,0.8,150.6579829,30.53022851,119.1277544,0.143569588,0.271918356
2004,All,Male,[35:40),0.184,0.8,108.5688052,19.79266016,87.77614504,0.116970189,0.262144091
2004,All,Male,[40:45),0.165,0.8,118.1137547,19.32376953,97.78998517,0.103752369,0.237067048
2004,All,Male,[45:50),0.095,0.8,105.1243832,9.891816404,94.2325668,0.046743154,0.157917763
2004,All,Male,[15:50),0.102,0.8,978.6195044,99.71718945,877.902315,0.083824872,0.121716816
2015.5,All,Female,[15:20),0.033,,766.3786917,25.25749683,740.1211949,0.021548354,0.046757423
2015.5,All,Female,[20:25),0.064,,753.0303955,48.12994531,703.9004502,0.047646485,0.08254749
2015.5,All,Female,[25:30),0.092,,732.7477497,67.32079297,664.4269567,0.07215436,0.113956551
2015.5,All,Female,[30:35),0.162,,415.7467689,67.18897656,347.5577923,0.128169084,0.198917065
2015.5,All,Female,[35:40),0.181,,485.8482066,87.75752539,397.0906812,0.148042132,0.216449808
2015.5,All,Female,[40:45),0.198,,321.8846177,63.5351543,257.3494634,0.15630517,0.243259238
2015.5,All,Female,[45:50),0.169,,273.4689927,46.04725977,226.4217329,0.126962721,0.215636835
2015.5,All,Female,[15:50),0.108,,2509.233941,270.8892656,2237.344675,0.09615545,0.12043656
2010,All,Female,[15:20),0.042,,835.3097098,35.04100781,799.268702,0.029468213,0.056607928
2010,All,Female,[20:25),0.064,,753.0303955,48.12994531,703.9004502,0.047646485,0.08254749
2010,All,Female,[25:30),0.135,,596.7054579,80.42023682,515.2852211,0.108769746,0.163550542
2010,All,Female,[30:35),0.207,,396.185745,81.80344922,313.3822958,0.168548741,0.248259547
2010,All,Female,[35:40),0.238,,280.7333041,66.57652638,213.1567777,0.190019307,0.289528437
2010,All,Female,[40:45),0.204,,268.6408548,54.59873438,213.0421204,0.157978793,0.254209661
2010,All,Female,[45:50),0.161,,295.4189514,47.40145118,247.0175002,0.121341514,0.205017916
2010,All,Female,[15:50),0.129,,2226.359239,287.0713418,1938.287897,0.115396079,0.143235455
2004,All,Female,[15:20),0.037,0.8,422.7167903,15.60352124,406.1132691,0.021174484,0.056968008
2004,All,Female,[20:25),0.132,0.8,399.4258996,52.59221875,345.8336809,0.100605003,0.166891764
2004,All,Female,[25:30),0.155,0.8,319.4304435,49.35671874,269.0737248,0.117429301,0.196672732
2004,All,Female,[30:35),0.181,0.8,226.2983291,40.77899757,184.5193315,0.133617164,0.233743648
2004,All,Female,[35:40),0.17,0.8,188.1541533,31.81620606,155.3379472,0.119801858,0.226872238
2004,All,Female,[40:45),0.179,0.8,133.7569423,23.76349267,108.9934496,0.118831476,0.248318432
2004,All,Female,[45:50),0.133,0.8,146.2193539,19.31417407,125.9051798,0.082970453,0.192584717
