Year,Province,Gender,AgeBin,Population,weight,two_sigma
2018,All,Female,[0:5),1286435,,257287
2018,All,Female,[5:10),1333916,,266783
2018,All,Female,[10:15),1286091,,257218
2018,All,Female,[15:20),1031165,,206233
2018,All,Female,[20:25),873999,,174800
2018,All,Female,[25:30),646545,,129309
2018,All,Female,[30:35),590721,,118144
2018,All,Female,[35:40),500810,,100162
2018,All,Female,[40:45),362429,,72486
2018,All,Female,[45:50),262119,,52424
2018,All,Female,[50:55),199412,,39882
2018,All,Female,[55:60),162875,0.1,32575
2018,All,Female,[60:65),127098,0.1,25420
2018,All,Female,[65:70),132640,0.1,26528
2018,All,Male,[0:5),1265971,,253194
2018,All,Male,[5:10),1298962,,259792
2018,All,Male,[10:15),1247212,,249442
2018,All,Male,[15:20),1004780,,200956
2018,All,Male,[20:25),777577,,155515
2018,All,Male,[25:30),582866,,116573
2018,All,Male,[30:35),516505,,103301
2018,All,Male,[35:40),468188,,93638
2018,All,Male,[40:45),367171,,73434
2018,All,Male,[45:50),273749,,54750
2018,All,Male,[50:55),188400,,37680
2018,All,Male,[55:60),144046,0.1,28809
2018,All,Male,[60:65),107820,0.1,21564
2018,All,Male,[65:70),107911,0.1,21582
2008,All,Female,[0:5),1431183,0.8,286237
2008,All,Female,[5:10),995992,0.8,199198
2008,All,Female,[10:15),844315,0.8,168863
2008,All,Female,[15:20),651028,0.8,130206
2008,All,Female,[20:25),685530,0.8,137106
2008,All,Female,[25:30),572873,0.8,114575
2008,All,Female,[30:35),409948,0.8,81990
2008,All,Female,[35:40),299687,0.8,59937
2008,All,Female,[40:45),222685,0.8,44537
2008,All,Female,[45:50),175905,0.8,35181
2008,All,Female,[50:55),142856,0.8,28571
2008,All,Female,[55:60),135598,0.1,27120
2008,All,Female,[60:65),97671,0.1,19534
2008,All,Female,[65:70),81791,0.1,16358
2008,All,Male,[0:5),1397050,0.8,279410
2008,All,Male,[5:10),972307,0.8,194461
2008,All,Male,[10:15),826076,0.8,165215
2008,All,Male,[15:20),625664,0.8,125133
2008,All,Male,[20:25),554799,0.8,110960
2008,All,Male,[25:30),530103,0.8,106021
2008,All,Male,[30:35),417599,0.8,83520
2008,All,Male,[35:40),323643,0.8,64729
2008,All,Male,[40:45),218546,0.8,43709
2008,All,Male,[45:50),167285,0.8,33457
2008,All,Male,[50:55),126778,0.8,25356
2008,All,Male,[55:60),122616,0.1,24523
2008,All,Male,[60:65),87008,0.1,17402
2008,All,Male,[65:70),72038,0.1,14408
2018,Southern,Male,[0:5),568276,,113655
2018,Southern,Male,[5:10),583853,,116771
2018,Southern,Male,[10:15),556048,,111210
2018,Southern,Male,[15:20),446148,,89230
2018,Southern,Male,[20:25),324265,,64853
2018,Southern,Male,[25:30),241990,,48398
2018,Southern,Male,[30:35),213624,,42725
2018,Southern,Male,[35:40),205187,,41037
2018,Southern,Male,[40:45),157695,,31539
2018,Southern,Male,[45:50),117902,,23580
2018,Southern,Male,[50:55),77749,,15550
2018,Southern,Male,[55:60),59920,0.1,11984
2018,Southern,Male,[60:65),45781,0.1,9156
2018,Southern,Male,[65:70),51813,0.1,10363
2018,Southern,Male,[70:75),28626,0.1,5725
2018,Southern,Male,[75:80),23017,0.1,4603
2018,Southern,Male,[80:85),10682,0.1,2136
2018,Southern,Male,[85:90),9736,0.1,1947
2018,Southern,Male,[90:100),2586,0.1,517
2018,Southern,Female,[0:5),575856,,115171
2018,Southern,Female,[5:10),599025,,119805
2018,Southern,Female,[10:15),569718,,113944
2018,Southern,Female,[15:20),458071,,91614
2018,Southern,Female,[20:25),379098,,75820
2018,Southern,Female,[25:30),284460,,56892
2018,Southern,Female,[30:35),261097,,52219
2018,Southern,Female,[35:40),229156,,45831
2018,Southern,Female,[40:45),157823,,31565
2018,Southern,Female,[45:50),114126,,22825
2018,Southern,Female,[50:55),85552,,17110
2018,Southern,Female,[55:60),71397,0.1,14279
2018,Southern,Female,[60:65),56989,0.1,11398
2018,Southern,Female,[65:70),65165,0.1,13033
2018,Southern,Female,[70:75),36736,0.1,7347
2018,Southern,Female,[75:80),33497,0.1,6699
2018,Southern,Female,[80:85),18248,0.1,3650
2018,Southern,Female,[85:90),16906,0.1,3381
2018,Southern,Female,[90:100),4966,0.1,993
2018,Northern,Male,[0:5),157891,,31578
2018,Northern,Male,[5:10),167618,,33524
2018,Northern,Male,[10:15),166945,,33389
2018,Northern,Male,[15:20),135554,,27111
2018,Northern,Male,[20:25),105081,,21016
2018,Northern,Male,[25:30),73549,,14710
2018,Northern,Male,[30:35),66152,,13230
2018,Northern,Male,[35:40),56982,,11396
2018,Northern,Male,[40:45),47025,,9405
2018,Northern,Male,[45:50),34603,,6921
2018,Northern,Male,[50:55),27899,,5580
2018,Northern,Male,[55:60),20643,0.1,4129
2018,Northern,Male,[60:65),16428,0.1,3286
2018,Northern,Male,[65:70),12829,0.1,2566
2018,Northern,Male,[70:75),9325,0.1,1865
2018,Northern,Male,[75:80),7380,0.1,1476
2018,Northern,Male,[80:85),4282,0.1,856
2018,Northern,Male,[85:90),2899,0.1,580
2018,Northern,Male,[90:100),468,0.1,94
2018,Northern,Female,[0:5),161193,,32239
2018,Northern,Female,[5:10),172222,,34444
2018,Northern,Female,[10:15),173170,,34634
2018,Northern,Female,[15:20),139300,,27860
2018,Northern,Female,[20:25),114551,,22910
2018,Northern,Female,[25:30),80835,,16167
2018,Northern,Female,[30:35),73189,,14638
2018,Northern,Female,[35:40),60592,,12118
2018,Northern,Female,[40:45),47641,,9528
2018,Northern,Female,[45:50),35054,,7011
2018,Northern,Female,[50:55),29822,,5964
2018,Northern,Female,[55:60),23018,0.1,4604
2018,Northern,Female,[60:65),18217,0.1,3643
2018,Northern,Female,[65:70),15407,0.1,3081
2018,Northern,Female,[70:75),11282,0.1,2256
2018,Northern,Female,[75:80),8966,0.1,1793
2018,Northern,Female,[80:85),5468,0.1,1094
2018,Northern,Female,[85:90),3692,0.1,738
2018,Northern,Female,[90:100),539,0.1,108
2018,Central,Male,[0:5),539804,,107961
2018,Central,Male,[5:10),547491,,109498
2018,Central,Male,[10:15),524219,,104844
2018,Central,Male,[15:20),423078,,84616
2018,Central,Male,[20:25),348231,,69646
2018,Central,Male,[25:30),267327,,53465
2018,Central,Male,[30:35),236729,,47346
2018,Central,Male,[35:40),206019,,41204
2018,Central,Male,[40:45),162451,,32490
2018,Central,Male,[45:50),121244,,24249
2018,Central,Male,[50:55),82752,,16550
2018,Central,Male,[55:60),63483,0.1,12697
2018,Central,Male,[60:65),45611,0.1,9122
2018,Central,Male,[65:70),43269,0.1,8654
2018,Central,Male,[70:75),25854,0.1,5171
2018,Central,Male,[75:80),21201,0.1,4240
2018,Central,Male,[80:85),9166,0.1,1833
2018,Central,Male,[85:90),8116,0.1,1623
2018,Central,Male,[90:100),1719,0.1,344
2018,Central,Female,[0:5),549386,,109877
2018,Central,Female,[5:10),562669,,112534
2018,Central,Female,[10:15),543203,,108641
2018,Central,Female,[15:20),433794,,86759
2018,Central,Female,[20:25),380350,,76070
2018,Central,Female,[25:30),281250,,56250
2018,Central,Female,[30:35),256435,,51287
2018,Central,Female,[35:40),211062,,42212
2018,Central,Female,[40:45),156965,,31393
2018,Central,Female,[45:50),112939,,22588
2018,Central,Female,[50:55),84038,,16808
2018,Central,Female,[55:60),68460,0.1,13692
2018,Central,Female,[60:65),51892,0.1,10378
2018,Central,Female,[65:70),52068,0.1,10414
2018,Central,Female,[70:75),32965,0.1,6593
2018,Central,Female,[75:80),30657,0.1,6131
2018,Central,Female,[80:85),15829,0.1,3166
2018,Central,Female,[85:90),13405,0.1,2681
2018,Central,Female,[90:100),2993,0.1,599
2008,Northern,Male,[0:5),150892,,30178
2008,Northern,Male,[5:10),129318,,25864
2008,Northern,Male,[10:15),110798,,22160
2008,Northern,Male,[15:20),87052,,17410
2008,Northern,Male,[20:25),73832,,14766
2008,Northern,Male,[25:30),63281,,12656
2008,Northern,Male,[30:35),50478,,10096
